x,y,response,size,octave
99.40,38.98,0.005833,2.081,2
99.92,86.06,0.010476,2.194,3
99.99,41.49,0.010773,1.834,1
100.17,107.23,0.005348,4.292,10
100.17,107.23,0.005348,4.292,10
100.23,160.38,0.005298,3.751,9
101.06,44.51,0.007665,2.514,4
101.65,266.47,0.006350,2.232,3
101.95,53.62,0.018594,6.220,15
101.96,75.25,0.009169,3.192,7
102.42,294.74,0.011180,7.234,16
102.42,294.74,0.011180,7.234,16
103.11,214.10,0.007581,32.732,34
103.17,92.63,0.005213,2.226,3
103.41,258.26,0.005745,8.707,19
104.14,86.47,0.005341,2.129,2
104.46,71.41,0.010017,1.836,1
104.46,71.41,0.010017,1.836,1
105.26,230.42,0.005583,7.378,17
105.93,71.61,0.007599,3.998,10
106.65,71.94,0.007621,4.782,12
106.91,65.50,0.005214,2.831,6
107.32,235.22,0.005487,14.406,24
107.48,293.39,0.007786,2.424,4
107.51,62.05,0.007970,2.726,5
108.89,86.09,0.011621,2.199,3
108.90,55.68,0.013799,3.091,7
109.38,82.85,0.008824,3.167,7
110.65,102.27,0.006696,3.037,6
111.42,260.16,0.005957,3.005,6
111.56,91.13,0.005699,2.435,4
112.32,282.56,0.006750,2.635,5
113.00,88.58,0.007020,2.151,2
113.19,176.80,0.005524,6.442,15
113.20,177.03,0.005436,6.706,16
113.74,51.53,0.011889,2.674,5
114.10,320.05,0.006496,1.794,0
114.24,54.54,0.007885,1.702,0
114.31,271.65,0.006903,4.497,11
114.96,73.47,0.007996,4.177,10
115.04,73.53,0.008103,4.008,10
115.46,34.28,0.006224,2.237,3
116.11,78.52,0.008193,3.759,9
116.11,78.52,0.008193,3.759,9
116.80,112.15,0.005782,4.824,12
116.96,66.46,0.006284,2.059,2
117.34,50.98,0.005875,2.406,4
117.62,113.53,0.005743,2.068,2
117.62,113.53,0.005743,2.068,2
117.83,237.58,0.007929,4.828,12
118.15,62.23,0.007653,4.863,12
118.38,275.57,0.006689,2.728,5
118.61,32.14,0.009880,3.673,9
118.96,280.12,0.005255,3.820,9
120.01,316.93,0.005487,5.172,13
120.52,62.84,0.007852,1.796,0
121.32,38.41,0.013510,3.840,9
121.40,280.66,0.005761,1.680,0
122.23,55.97,0.009269,4.490,11
122.23,55.97,0.009269,4.490,11
122.73,315.44,0.006436,2.457,4
122.81,48.02,0.014861,5.148,12
123.02,85.38,0.007255,1.846,1
123.91,39.35,0.014564,2.634,5
123.96,317.73,0.005310,1.750,0
124.23,75.87,0.009619,5.117,12
124.28,42.48,0.012788,2.272,3
124.41,36.35,0.008155,2.057,2
125.47,63.83,0.005141,2.864,6
126.07,28.43,0.007165,2.038,2
127.69,54.51,0.010344,2.692,5
128.06,60.74,0.012898,2.840,6
128.25,81.88,0.007077,1.843,1
128.26,41.49,0.011750,3.956,9
128.54,50.25,0.016478,2.621,5
128.61,39.71,0.010699,2.303,3
128.67,34.11,0.012229,1.842,1
128.78,215.65,0.007509,11.977,22
129.67,322.04,0.010619,4.500,11
129.67,322.04,0.010619,4.500,11
130.07,165.37,0.005427,8.936,19
130.63,64.48,0.005313,2.587,5
130.72,325.90,0.006783,2.807,5
130.83,278.83,0.005015,2.392,4
130.83,278.83,0.005015,2.392,4
131.09,43.96,0.007340,1.792,0
131.10,47.37,0.008621,2.401,4
131.16,58.81,0.008335,2.139,2
131.43,31.95,0.011342,2.747,5
131.43,31.95,0.011342,2.747,5
131.53,53.32,0.009922,2.684,5
131.76,35.00,0.010767,5.399,13
131.76,35.00,0.010767,5.399,13
131.85,120.10,0.008620,3.138,7
131.85,120.10,0.008620,3.138,7
131.93,281.60,0.006813,1.914,1
131.93,281.60,0.006813,1.914,1
132.42,41.43,0.009797,2.058,2
133.05,56.53,0.008375,1.981,1
133.05,56.53,0.008375,1.981,1
134.08,51.31,0.007186,5.386,13
134.34,167.55,0.005270,4.314,10
134.68,45.96,0.010883,2.236,3
135.18,43.04,0.005040,2.169,3
135.20,63.00,0.005666,1.970,1
