x,y,response,size,octave
225.00,60.00,83.000000,31.000,0
313.00,120.00,60.000000,31.000,0
302.00,123.00,84.000000,31.000,0
300.00,104.00,88.000000,31.000,0
309.00,50.00,56.000000,31.000,0
303.00,55.00,41.000000,31.000,0
315.00,45.00,25.000000,31.000,0
301.00,42.00,25.000000,31.000,0
352.00,37.00,84.000000,31.000,0
338.00,34.00,61.000000,31.000,0
353.00,22.00,38.000000,31.000,0
340.00,24.00,63.000000,31.000,0
416.00,295.00,44.000000,31.000,0
427.00,281.00,21.000000,31.000,0
422.00,282.00,34.000000,31.000,0
468.00,117.00,56.000000,31.000,0
462.00,111.00,54.000000,31.000,0
499.00,142.00,75.000000,31.000,0
497.00,144.00,86.000000,31.000,0
561.00,291.00,8.000000,31.000,0
553.00,290.00,11.000000,31.000,0
560.00,280.00,14.000000,31.000,0
545.00,278.00,9.000000,31.000,0
580.00,290.00,8.000000,31.000,0
569.00,285.00,14.000000,31.000,0
579.00,282.00,9.000000,31.000,0
568.00,281.00,11.000000,31.000,0
673.00,225.00,41.000000,31.000,0
660.00,221.00,47.000000,31.000,0
668.00,213.00,65.000000,31.000,0
665.00,213.00,56.000000,31.000,0
864.00,328.00,15.000000,31.000,0
852.00,328.00,8.000000,31.000,0
860.00,321.00,10.000000,31.000,0
849.00,320.00,15.000000,31.000,0
49.00,160.00,185.000000,31.000,0
41.00,162.00,181.000000,31.000,0
46.00,146.00,99.000000,31.000,0
40.00,147.00,125.000000,31.000,0
45.00,70.00,41.000000,31.000,0
41.00,74.00,35.000000,31.000,0
52.00,59.00,55.000000,31.000,0
44.00,65.00,48.000000,31.000,0
104.00,71.00,48.000000,31.000,0
98.00,72.00,39.000000,31.000,0
107.00,65.00,25.000000,31.000,0
93.00,60.00,40.000000,31.000,0
200.00,57.00,34.000000,31.000,0
188.00,56.00,61.000000,31.000,0
197.00,41.00,48.000000,31.000,0
188.00,45.00,122.000000,31.000,0
675.00,356.00,44.000000,31.000,0
658.00,352.00,33.000000,31.000,0
670.00,347.00,64.000000,31.000,0
666.00,342.00,51.000000,31.000,0
729.00,225.00,31.000000,31.000,0
715.00,227.00,43.000000,31.000,0
731.00,219.00,24.000000,31.000,0
722.00,219.00,61.000000,31.000,0
997.00,329.00,37.000000,31.000,0
988.00,334.00,42.000000,31.000,0
993.00,322.00,25.000000,31.000,0
983.00,317.00,28.000000,31.000,0
30.00,73.00,42.000000,31.000,0
24.00,71.00,33.000000,31.000,0
33.00,65.00,69.000000,31.000,0
22.00,68.00,70.000000,31.000,0
50.00,137.00,109.000000,31.000,0
36.00,135.00,125.000000,31.000,0
46.00,129.00,49.000000,31.000,0
42.00,132.00,160.000000,31.000,0
147.00,49.00,28.000000,31.000,0
131.00,53.00,56.000000,31.000,0
134.00,46.00,45.000000,31.000,0
197.00,350.00,13.000000,31.000,0
186.00,352.00,15.000000,31.000,0
197.00,339.00,8.000000,31.000,0
195.00,349.00,15.000000,31.000,0
258.00,53.00,28.000000,31.000,0
250.00,50.00,21.000000,31.000,0
254.00,48.00,45.000000,31.000,0
249.00,47.00,26.000000,31.000,0
330.00,356.00,14.000000,31.000,0
319.00,354.00,15.000000,31.000,0
334.00,346.00,11.000000,31.000,0
325.00,345.00,14.000000,31.000,0
371.00,29.00,88.000000,31.000,0
360.00,27.00,31.000000,31.000,0
366.00,22.00,60.000000,31.000,0
357.00,19.00,46.000000,31.000,0
540.00,291.00,8.000000,31.000,0
531.00,295.00,21.000000,31.000,0
541.00,282.00,9.000000,31.000,0
530.00,282.00,11.000000,31.000,0
690.00,138.00,48.000000,31.000,0
680.00,137.00,33.000000,31.000,0
695.00,127.00,67.000000,31.000,0
682.00,132.00,67.000000,31.000,0
956.00,229.00,104.000000,31.000,0
944.00,230.00,21.000000,31.000,0
954.00,211.00,90.000000,31.000,0
121.00,74.00,31.000000,31.000,0
116.00,78.00,28.000000,31.000,0
127.00,60.00,43.000000,31.000,0
120.00,62.00,34.000000,31.000,0
179.00,54.00,26.000000,31.000,0
173.00,55.00,43.000000,31.000,0
179.00,48.00,43.000000,31.000,0
176.00,38.00,47.000000,31.000,0
480.00,288.00,39.000000,31.000,0
469.00,289.00,129.000000,31.000,0
486.00,277.00,38.000000,31.000,0
474.00,274.00,65.000000,31.000,0
747.00,229.00,38.000000,31.000,0
737.00,226.00,46.000000,31.000,0
739.00,220.00,32.000000,31.000,0
819.00,311.00,19.000000,31.000,0
812.00,310.00,19.000000,31.000,0
826.00,300.00,13.000000,31.000,0
817.00,306.00,17.000000,31.000,0
196.00,33.00,34.000000,31.000,0
189.00,27.00,38.000000,31.000,0
201.00,21.00,58.000000,31.000,0
186.00,20.00,46.000000,31.000,0
